bairro;codB;grupo;n;proporção;pop;dens;rendaSM;ids;amostra;perc
Jacarepaguá;115;2;41;0,54670;157326;0,260605367;1,509;0,554;23;1,710144928
Olaria;42;2;41;0,68330;57514;0,71286991;1,724;0,611;21;1,69047619
Penha;43;2;73;0,60330;78678;0,927832431;1,286;0,584;20;1,616666667
Santa Teresa;14;2;20;0,64520;40926;0,488686898;2,18;0,624;20;2,95
Grajaú;38;2;31;0,56360;38671;0,8016343;3,894;0,688;19;1,561403509
Irajá;76;2;58;0,34120;96382;0,601772115;1,813;0,615;19;1,333333333
Manguinhos;39;2;18;0,64290;36160;0,497787611;0,68;0,518;19;2,824561404
Pechincha;121;2;26;0,63410;34709;0,749085252;3,079;0,653;19;1,859649123
Andaraí;37;2;32;0,59260;39365;0,812904865;3,294;0,666;18;1,277777778
Humaitá;21;2;10;0,62500;13285;0,752728641;6,913;0,761;17;1,137254902
Ramos;41;2;46;0,65710;40792;1,127672093;1,614;0,609;16;2,166666667
Engenho de Dentro;66;2;28;0,58330;45540;0,614844093;1,977;0,612;15;1,955555556
Maracanã;35;2;72;0,58060;25256;2,850807729;4,794;0,722;15;1,444444444
Praça Seca;124;2;26;0,50980;64147;0,405319033;1,817;0,607;15;1,8
Realengo;139;2;82;0,67770;180123;0,455244472;1,248;0,574;15;2,266666667
Cachambi;65;2;48;0,44440;42415;1,131675115;2,666;0,654;14;1,571428571
Rocha Miranda;86;2;19;0,79170;44188;0,42998099;1,34;0,585;14;1,880952381
Bonsucesso;40;2;78;0,57350;18711;4,168670835;1,76;0,612;13;2,102564103
Brás de Pina;45;2;22;0,68750;59222;0,37148357;1,431;0,594;13;1,846153846
Pavuna;114;2;36;0,97300;97350;0,369799692;1,063;0,563;13;2,025641026
Cordovil;46;2;16;0,80000;45202;0,353966639;1,071;0,57;12;1,861111111
Vila Isabel;74;2;94;0,51370;25465;3,691341056;2,743;0,658;12;1,944444444
Jardim Botânico;28;2;26;0,68420;18009;1,443722583;7,85;0,767;11;1,242424242
Lagoa;27;2;20;0,50000;21198;0,943485234;11,082;0,819;11;1,757575758
Lins de Vasconcelos;62;2;15;0,65220;37487;0,400138715;1,967;0,597;11;1,848484848
Glória;16;2;28;0,59570;9661;2,898250699;4,35;0,705;10;1,366666667
Leblon;26;2;103;0,59540;46044;2,236990705;9,177;0,78;10;1,233333333
Senador Camará;142;2;15;0,78950;105515;0,142159882;1,243;0,582;10;2,1
Anchieta;107;2;16;0,84210;55652;0,287500898;1,123;0,566;9;2,111111111
Catete;18;2;57;0,57580;24057;2,36937274;4,149;0,69;9;1,111111111
Engenho Novo;61;2;16;0,55170;42172;0,379398653;1,896;0,617;9;2,259259259
Higienópolis;50;2;24;0,64860;15734;1,525359095;1,948;0,627;9;2,259259259
Padre Miguel;140;2;33;0,68750;64228;0,513794607;1,022;0,545;9;1,851851852
Portuguesa;103;2;11;0,31430;23856;0,461099933;2,435;0,635;9;1,814814815
Centro;5;2;808;0,68240;41142;19,63929804;2,657;0,643;8;1,083333333
Jardim Carioca;100;2;22;0,53660;24848;0,885383129;1,788;0,61;8;1,875
Marechal Hermes;90;2;22;0,57890;47474;0,463411552;1,429;0,577;8;1,958333333
Paciência;148;2;23;0,65710;94626;0,243062161;0,847;0,536;8;1,625
Penha Circular;44;2;53;0,72600;47816;1,108415593;1,542;0,6;8;1,625
Piedade;69;2;35;0,64810;43378;0,806860621;1,719;0,61;8;1,75
Tanque;123;2;13;0,29550;37856;0,343406593;1,627;0,595;8;1,791666667
Todos os Santos;64;2;12;0,66670;24646;0,486894425;3,411;0,685;8;1,916666667
Vila Valqueire;125;2;34;0,50000;32866;1,034503742;2,659;0,647;8;1,541666667
Anil;116;2;37;0,86050;24172;1,530696674;3,009;0,632;7;1,333333333
Cosme Velho;19;2;7;0,70000;7178;0,975202006;5,083;0,693;7;1,904761905
Cosmos;147;2;14;0,82350;77007;0,181801654;0,88;0,542;7;1,523809524
Maré;157;2;2;0,50000;129770;0,015411883;0,775;0,547;7;1,619047619
Monero;102;2;3;0,75000;6476;0,463248919;3,656;0,687;7;3,047619048
Santa Cruz;149;2;63;0,56760;217333;0,289877745;0,879;0,527;7;2,142857143
Pilares;71;2;15;0,55560;27250;0,550458716;1,385;0,593;6;1,611111111
Quintino Bocaiúva;79;2;15;0,88240;31185;0,481000481;1,636;0,603;6;1,611111111
Rocha;58;2;3;0,42860;10342;0,290079288;2,188;0,627;6;2,055555556
Senador Vasconcelos;145;2;19;0,67860;30600;0,620915033;1,193;0,556;6;2,555555556
Tomás Coelho;56;2;2;0,50000;22676;0,088198977;1,295;0,573;6;3,388888889
Vila da Penha;72;2;24;0,80000;18274;1,313341359;1,716;0,617;6;1,944444444
Alto da Boa Vista;34;2;2;0,50000;9343;0,214064005;2,479;0,54;5;2,2
Cavalcanti;80;2;3;0,60000;16141;0,18586209;1,055;0,566;5;2,2
Curicica;119;2;26;0,53060;31189;0,83362724;1,466;0,58;5;1,4
Gávea;29;2;38;0,50670;16003;2,374554771;7,007;0,756;5;1,466666667
Jardim América;49;2;15;0,44120;25226;0,594624594;1,262;0,587;5;1,666666667
Jardim Sulacap;137;2;19;0,55880;13062;1,454601133;2,66;0,641;5;3,133333333
Maria da Graça;52;2;8;0,88890;7972;1,003512293;2,208;0,626;5;2,266666667
São Cristovão;10;2;87;0,75650;26510;3,28178046;1,953;0,615;5;2,2
Água Santa;67;2;4;1,00000;8756;0,456829603;1,928;0,607;4;2,666666667
Bento Ribeiro;89;2;19;0,61290;43707;0,434712975;1,701;0,61;4;2
Cascadura;82;2;28;0,84850;34456;0,812630601;1,529;0,589;4;1,666666667
Colégio;77;2;3;1,00000;29245;0,102581638;1,073;0,565;4;1,833333333
Encantado;68;2;6;0,50000;15021;0,399440783;1,88;0,619;4;2,833333333
Guadalupe;106;2;20;0,68970;47144;0,42423214;1,292;0,58;4;1,25
Leme;23;2;23;0,69700;14799;1,554159065;5,966;0,723;4;1,166666667
Oswaldo Cruz;88;2;11;0,61110;34040;0,323149236;1,579;0,592;4;2,75
Parada de Lucas;47;2;11;0,84620;23923;0,459808552;0,835;0,553;4;2,833333333
Parque Anchieta;108;2;17;0,85000;26212;0,648557912;1,384;0,589;4;2,25
Praça da Bandeira;32;2;24;0,66670;8662;2,770722697;3,585;0,681;4;2,75
Rio Comprido;7;2;29;0,58000;43764;0,662645096;1,869;0,605;4;1,583333333
Vaz Lobo;84;2;7;0,77780;15167;0,461528318;1,221;0,58;4;2,166666667
Vigário Geral;48;2;12;0,80000;41820;0,286944046;0,848;0,531;4;2,166666667
Benfica;12;2;25;0,53190;19017;1,314613241;1,268;0,57;3;1,888888889
Del Castilho;53;2;7;0,38890;15610;0,448430493;1,511;0,598;3;1,555555556
Engenho da Rainha;55;2;2;0,50000;26659;0,075021569;1,398;0,589;3;2,222222222
Inhaúma;54;2;43;0,43000;45698;0,940960217;1,16;0,572;3;2,666666667
Inhoaíba;146;2;12;0,92310;64649;0,18561772;0,862;0,543;3;1,555555556
Praia da Bandeira;95;2;6;0,50000;5948;1,008742434;2,516;0,648;3;2,666666667
Ricardo de Albuquerque;109;2;12;0,70590;29310;0,409416581;1,108;0,569;3;1,222222222
São Conrado;31;2;12;0,92310;10980;1,092896175;8,919;0,779;3;1,555555556
São Francisco Xavier;57;2;9;0,60000;8343;1,078748652;2,017;0,613;3;1,666666667
Tauá;101;2;14;0,63640;29567;0,473500862;1,506;0,589;3;1,222222222
Urca;22;2;10;0,76920;7061;1,416229996;6,483;0,749;3;1,555555556
Vicente de Carvalho;73;2;3;0,75000;24964;0,120173049;1,201;0,579;3;3,222222222
Vista Alegre;75;2;17;0,77270;8622;1,971700302;2,143;0,636;3;2,111111111
Abolição;70;2;2;0,14290;11356;0,176118352;2,104;0,633;2;1,666666667
Campinho;78;2;4;0,57140;10156;0,393855849;2,066;0,61;2;3,5
Coelho Neto;110;2;25;0,78130;32423;0,771057583;1,144;0,573;2;1
Costa Barros;113;2;1;0,50000;28442;0,035159271;0,687;0,535;2;2,666666667
Freguesia (Ilha);98;2;12;0,66670;19437;0,617379225;1,862;0,61;2;2
Galeão;104;2;5;0,55560;22971;0,217665752;1,361;0,571;2;1,333333333
Gardênia Azul;117;2;13;0,61900;17715;0,733841377;1,232;0,57;2;1,166666667
Itanhangá;127;2;18;0,69230;41801;0,430611708;1,941;0,527;2;1,666666667
Madureira;83;2;89;0,78760;50106;1,776234383;1,581;0,597;2;2,166666667
Magalhães Bastos;138;2;13;0,61900;24430;0,532132624;1,261;0,575;2;2
Pitangueiras;94;2;2;1,00000;11756;0,170125893;1,442;0,589;2;1,166666667
Riachuelo;59;2;5;0,50000;12653;0,395163202;2,444;0,648;2;1,333333333
Ribeira;91;2;15;0,83330;3528;4,25170068;3,246;0,672;2;1,833333333
Santo Cristo;3;2;19;0,61290;12330;1,540957015;1,082;0,569;2;3,333333333
Vargem Grande;131;2;6;0,66670;14039;0,427380868;1,601;0,453;2;1,833333333
Catumbi;6;2;10;0,90910;12556;0,796431985;1,233;0,58;1;1,666666667
Deodoro;134;2;3;0,42860;10842;0,276701716;0,982;0,554;1;1
Engenheiro Leal;81;2;2;0,66670;6113;0,327171602;1,118;0,563;1;1,333333333
Estácio;9;2;11;0,57890;17189;0,63994415;1,49;0,586;1;1
Jacaré;51;2;13;0,65000;9276;1,401466149;1,2;0,571;1;3,333333333
Pedra de Guaratiba;153;2;5;0,62500;9488;0,52698145;1,464;0,559;1;1,666666667
Sampaio;60;2;0;0,00000;10895;0;1,309;0,578;1;1
Sepetiba;150;2;14;0,77780;56575;0,247459125;0,882;0,517;1;2
Vila Militar;135;2;1;0,33330;13184;0,075849515;1,737;0,583;1;1,333333333
Acari;111;2;0;0,00000;27347;0;0,625;0,526;0;0
Bancários;97;2;5;1,00000;12512;0,399616368;1,59;0,6;0;0
Barra de Guaratiba;152;2;19;0,95000;3577;5,311713727;1,365;0,502;0;0
Barros Filho;112;2;5;1,00000;14049;0,355897217;0,715;0,527;0;0
Cacuia;93;2;13;0,65000;11013;1,180423136;1,649;0,602;0;0
Caju;4;2;2;0,33330;20477;0,097670557;0,795;0,554;0;0
Camorim;129;2;5;0,55560;1970;2,538071066;2,591;0,518;0;0
Campo dos Afonsos;136;2;1;0,25000;1365;0,732600733;3,332;0,701;0;0
Cidade de Deus;118;2;13;0,81250;37730;0,344553406;0,896;0,559;0;0
Cidade Nova;8;2;22;0,66670;5466;4,024881083;1,648;0,594;0;0
Cidade Universitária;105;2;8;0,32000;1556;5,141388175;1,512;0,563;0;0
Cocotá;96;2;10;0,58820;4877;2,050440845;2,552;0,655;0;0
Gamboa;2;2;1;0,50000;13108;0,076289289;0,923;0,559;0;0
Grumari;133;2;1;1,00000;167;5,988023952;0,503;0,282;0;0
Guaratiba;151;2;30;0,83330;110049;0,272605839;0,887;0,487;0;0
Honório Gurgel;87;2;10;0,58820;21989;0,454772841;1,184;0,574;0;0
Paquetá;13;2;7;0,87500;3361;2,082713478;2,038;0,608;0;0
Santíssimo;143;2;16;0,76190;41458;0,385932751;1,045;0,558;0;0
Saúde;1;2;26;0,65000;2749;9,457984722;1,295;0,583;0;0
Turiaçu;85;2;8;0,88890;17246;0,463875681;1,299;0,579;0;0
Vargem Pequena;130;2;7;0,63640;20973;0,333762456;1,457;0,519;0;0
Vasco da Gama;159;2;1;0,50000;15482;0,064591138;1,409;0,593;0;0
Zumbi;92;2;3;0,60000;2016;1,488095238;3,243;0,676;0;0
Tijuca;33;3;206;0,42560;163648;1,258799374;4,539;0,706;72;1,361111111
Laranjeiras;17;3;36;0,34620;45554;0,790270887;6,365;0,75;70;1,3
Copacabana;24;3;187;0,35960;146392;1,277392207;5,91;0,731;51;1,111111111
Botafogo;20;3;142;0,37770;82890;1,713113765;5,907;0,733;45;1,518518519
Campo Grande;144;3;148;0,32310;328370;0,450711088;1,447;0,572;39;1,64957265
Vila Kosmos;36;3;2;0,06250;86018;0,023250947;3,243;0,667;38;1,219298246
Méier;63;3;50;0,35710;49828;1,003451874;3,606;0,687;35;1,438095238
Flamengo;15;3;23;0,19170;50043;0,45960474;6,926;0,752;34;1,225490196
Barra da Tijuca;128;3;285;0,44600;136831;2,08286134;8,551;0,77;32;1,5625
Bangu;141;3;68;0,34870;244728;0,277859501;1,149;0,57;30;1,988888889
Taquara;122;3;60;0,37740;102126;0,587509547;2,068;0,612;30;1,8
Freguesia;120;3;37;0,45120;19437;1,903585944;3,284;0,64;28;1,607142857
Jardim Guanabara;99;3;9;0,20930;32213;0,279390308;4,527;0,72;27;1,679012346
Ipanema;25;3;68;0,36960;42743;1,590903774;8,831;0,77;25;1,08
Recreio dos Bandeirantes;132;3;43;0,38390;84224;0,510543313;4,379;0,659;25;1,44
Jacarepaguá;115;3;23;0,30670;157326;0,146193255;1,509;0,554;23;1,710144928
Olaria;42;3;15;0,25000;57514;0,260806065;1,724;0,611;21;1,69047619
Penha;43;3;37;0,30580;78678;0,470271232;1,286;0,584;20;1,616666667
Santa Teresa;14;3;7;0,22580;40926;0,171040414;2,18;0,624;20;2,95
Grajaú;38;3;15;0,27270;38671;0,387887564;3,894;0,688;19;1,561403509
Irajá;76;3;6;0,03530;96382;0,062252288;1,813;0,615;19;1,333333333
Manguinhos;39;3;8;0,28570;36160;0,221238938;0,68;0,518;19;2,824561404
Pechincha;121;3;15;0,36590;34709;0,432164568;3,079;0,653;19;1,859649123
Andaraí;37;3;14;0,25930;39365;0,355645878;3,294;0,666;18;1,277777778
Humaitá;21;3;3;0,18750;13285;0,225818592;6,913;0,761;17;1,137254902
Ramos;41;3;14;0,20000;40792;0,34320455;1,614;0,609;16;2,166666667
Engenho de Dentro;66;3;14;0,29170;45540;0,307422047;1,977;0,612;15;1,955555556
Maracanã;35;3;49;0,39520;25256;1,940133038;4,794;0,722;15;1,444444444
Praça Seca;124;3;19;0,37250;64147;0,296194678;1,817;0,607;15;1,8
Realengo;139;3;25;0,20660;180123;0,138794046;1,248;0,574;15;2,266666667
Cachambi;65;3;54;0,50000;42415;1,273134504;2,666;0,654;14;1,571428571
Rocha Miranda;86;3;1;0,04170;44188;0,022630578;1,34;0,585;14;1,880952381
Bonsucesso;40;3;50;0,36760;18711;2,672224894;1,76;0,612;13;2,102564103
Brás de Pina;45;3;5;0,15630;59222;0,084428084;1,431;0,594;13;1,846153846
Pavuna;114;3;0;0,00000;97350;0;1,063;0,563;13;2,025641026
Cordovil;46;3;4;0,20000;45202;0,08849166;1,071;0,57;12;1,861111111
Vila Isabel;74;3;79;0,43170;25465;3,102297271;2,743;0,658;12;1,944444444
Jardim Botânico;28;3;9;0,23680;18009;0,499750125;7,85;0,767;11;1,242424242
Lagoa;27;3;19;0,47500;21198;0,896310973;11,082;0,819;11;1,757575758
Lins de Vasconcelos;62;3;4;0,17390;37487;0,106703657;1,967;0,597;11;1,848484848
Glória;16;3;15;0,31910;9661;1,552634303;4,35;0,705;10;1,366666667
Leblon;26;3;59;0,34100;46044;1,281383025;9,177;0,78;10;1,233333333
Senador Camará;142;3;2;0,10530;105515;0,018954651;1,243;0,582;10;2,1
Anchieta;107;3;1;0,05260;55652;0,017968806;1,123;0,566;9;2,111111111
Catete;18;3;37;0,37370;24057;1,538013884;4,149;0,69;9;1,111111111
Engenho Novo;61;3;7;0,24140;42172;0,165986911;1,896;0,617;9;2,259259259
Higienópolis;50;3;12;0,32430;15734;0,762679547;1,948;0,627;9;2,259259259
Padre Miguel;140;3;12;0,25000;64228;0,186834402;1,022;0,545;9;1,851851852
Portuguesa;103;3;23;0,65710;23856;0,964118042;2,435;0,635;9;1,814814815
Centro;5;3;368;0,31080;41142;8,944630791;2,657;0,643;8;1,083333333
Jardim Carioca;100;3;17;0,41460;24848;0,684159691;1,788;0,61;8;1,875
Marechal Hermes;90;3;5;0,13160;47474;0,105320807;1,429;0,577;8;1,958333333
Paciência;148;3;5;0,14290;94626;0,0528396;0,847;0,536;8;1,625
Penha Circular;44;3;14;0,19180;47816;0,292789025;1,542;0,6;8;1,625
Piedade;69;3;11;0,20370;43378;0,253584766;1,719;0,61;8;1,75
Tanque;123;3;28;0,63640;37856;0,73964497;1,627;0,595;8;1,791666667
Todos os Santos;64;3;5;0,27780;24646;0,202872677;3,411;0,685;8;1,916666667
Vila Valqueire;125;3;27;0,39710;32866;0,821517678;2,659;0,647;8;1,541666667
Anil;116;3;5;0,11630;24172;0,206850902;3,009;0,632;7;1,333333333
Cosme Velho;19;3;3;0,30000;7178;0,417943717;5,083;0,693;7;1,904761905
Cosmos;147;3;2;0,11760;77007;0,025971665;0,88;0,542;7;1,523809524
Maré;157;3;1;0,25000;129770;0,007705941;0,775;0,547;7;1,619047619
Monero;102;3;0;0,00000;6476;0;3,656;0,687;7;3,047619048
Santa Cruz;149;3;38;0,34230;217333;0,174846894;0,879;0,527;7;2,142857143
Pilares;71;3;9;0,33330;27250;0,330275229;1,385;0,593;6;1,611111111
Quintino Bocaiúva;79;3;1;0,05880;31185;0,032066699;1,636;0,603;6;1,611111111
Rocha;58;3;3;0,42860;10342;0,290079288;2,188;0,627;6;2,055555556
Senador Vasconcelos;145;3;4;0,14290;30600;0,130718954;1,193;0,556;6;2,555555556
Tomás Coelho;56;3;1;0,25000;22676;0,044099488;1,295;0,573;6;3,388888889
Vila da Penha;72;3;1;0,03330;18274;0,054722557;1,716;0,617;6;1,944444444
Alto da Boa Vista;34;3;2;0,50000;9343;0,214064005;2,479;0,54;5;2,2
Cavalcanti;80;3;1;0,20000;16141;0,06195403;1,055;0,566;5;2,2
Curicica;119;3;19;0,38780;31189;0,609189137;1,466;0,58;5;1,4
Gávea;29;3;35;0,46670;16003;2,187089921;7,007;0,756;5;1,466666667
Jardim América;49;3;14;0,41180;25226;0,554982954;1,262;0,587;5;1,666666667
Jardim Sulacap;137;3;14;0,41180;13062;1,071811361;2,66;0,641;5;3,133333333
Maria da Graça;52;3;0;0,00000;7972;0;2,208;0,626;5;2,266666667
São Cristovão;10;3;22;0,19130;26510;0,829875519;1,953;0,615;5;2,2
Água Santa;67;3;0;0,00000;8756;0;1,928;0,607;4;2,666666667
Bento Ribeiro;89;3;2;0,06450;43707;0,045759261;1,701;0,61;4;2
Cascadura;82;3;3;0,09090;34456;0,087067564;1,529;0,589;4;1,666666667
Colégio;77;3;0;0,00000;29245;0;1,073;0,565;4;1,833333333
Encantado;68;3;4;0,33330;15021;0,266293855;1,88;0,619;4;2,833333333
Guadalupe;106;3;4;0,13790;47144;0,084846428;1,292;0,58;4;1,25
Leme;23;3;5;0,15150;14799;0,337860666;5,966;0,723;4;1,166666667
Oswaldo Cruz;88;3;3;0,16670;34040;0,08813161;1,579;0,592;4;2,75
Parada de Lucas;47;3;2;0,15380;23923;0,083601555;0,835;0,553;4;2,833333333
Parque Anchieta;108;3;0;0,00000;26212;0;1,384;0,589;4;2,25
Praça da Bandeira;32;3;8;0,22220;8662;0,923574232;3,585;0,681;4;2,75
Rio Comprido;7;3;15;0,30000;43764;0,342747464;1,869;0,605;4;1,583333333
Vaz Lobo;84;3;0;0,00000;15167;0;1,221;0,58;4;2,166666667
Vigário Geral;48;3;2;0,13330;41820;0,047824008;0,848;0,531;4;2,166666667
Benfica;12;3;10;0,21280;19017;0,525845296;1,268;0,57;3;1,888888889
Del Castilho;53;3;8;0,44440;15610;0,512491992;1,511;0,598;3;1,555555556
Engenho da Rainha;55;3;0;0,00000;26659;0;1,398;0,589;3;2,222222222
Inhaúma;54;3;53;0,53000;45698;1,159788175;1,16;0,572;3;2,666666667
Inhoaíba;146;3;0;0,00000;64649;0;0,862;0,543;3;1,555555556
Praia da Bandeira;95;3;6;0,50000;5948;1,008742434;2,516;0,648;3;2,666666667
Ricardo de Albuquerque;109;3;1;0,05880;29310;0,034118048;1,108;0,569;3;1,222222222
São Conrado;31;3;1;0,07690;10980;0,091074681;8,919;0,779;3;1,555555556
São Francisco Xavier;57;3;4;0,26670;8343;0,479443845;2,017;0,613;3;1,666666667
Tauá;101;3;3;0,13640;29567;0,101464471;1,506;0,589;3;1,222222222
Urca;22;3;1;0,07690;7061;0,141623;6,483;0,749;3;1,555555556
Vicente de Carvalho;73;3;0;0,00000;24964;0;1,201;0,579;3;3,222222222
Vista Alegre;75;3;3;0,13640;8622;0,347947112;2,143;0,636;3;2,111111111
